Teratoma,orgin
Teratoma-10,hiPS35-A
Teratoma-11,hiPS35-E
Teratoma-12,hiPS35-I
Teratoma-13,hiPS45-A
Teratoma-14,hESO8
Teratoma-15,hESO14
Teratoma-16,hiPS65-A
Teratoma-17,hiPS65-B
Teratoma-18,hiPS65-C
Teratoma-19,hiPS36-C
Teratoma-20,hiPS64-G
Teratoma-21,hiPS66-A
Teratoma-22,hiPS66-B
Teratoma-23,hiPS66-C
Teratoma-24,hiPS67-B
Teratoma-25,hiPS68-A
Teratoma-26,hiPS69-B
Teratoma-4,hiPS21-B
Teratoma-5,hiPS21-E
Teratoma-6,hiPS45-D
Teratoma-7,hiPS29-A
Teratoma-8,hiPS29-E
Teratoma-9,hiPS29-F
